2023-01-04,acquisition_channel,email,2,0,0.00,,,,0,,0,,0,,0,,0
2023-01-06,acquisition_channel,email,3,0,0.00,,2.0000,2.00,1,0.00,1,0.00,1,,0,,0
2023-01-07,acquisition_channel,email,7,1,256.00,1.0000,,2.50,2,0.00,2,0.00,2,,0,2.0000,1
2023-01-08,acquisition_channel,email,4,0,0.00,0.0000,,4.00,3,0.33,3,85.33,3,1.0000,1,2.0000,1
2023-01-09,acquisition_channel,email,5,0,0.00,0.0000,0.5000,4.00,4,0.25,4,64.00,4,0.5000,2,2.0000,1
2023-01-10,acquisition_channel,email,6,0,0.00,,0.3333,4.20,5,0.20,5,51.20,5,0.3333,3,1.2500,2
2023-01-11,acquisition_channel,email,4,0,0.00,0.0000,,4.50,6,0.17,6,42.67,6,0.3333,3,0.9444,3
2023-01-12,acquisition_channel,email,6,0,0.00,0.0000,0.0000,4.43,7,0.14,7,36.57,7,0.2500,4,0.9444,3
2023-01-13,acquisition_channel,email,8,0,0.00,0.0000,0.0000,5.00,7,0.14,7,36.57,7,0.2000,5,0.7083,4
2023-01-14,acquisition_channel,email,6,1,271.00,1.0000,0.3333,5.71,7,0.14,7,36.57,7,0.1667,6,0.2083,4
2023-01-15,acquisition_channel,email,2,0,0.00,,,5.57,7,0.14,7,38.71,7,0.1667,6,0.2333,5
2023-01-16,acquisition_channel,email,5,0,0.00,0.0000,1.0000,5.29,7,0.14,7,38.71,7,0.2000,5,0.2333,5
2023-01-17,acquisition_channel,email,7,1,205.00,1.0000,,5.29,7,0.14,7,38.71,7,0.2000,5,0.3333,5
2023-01-18,acquisition_channel,email,10,1,184.00,1.0000,0.0000,5.43,7,0.29,7,68.00,7,0.3333,6,0.3333,4
2023-01-19,acquisition_channel,email,9,0,0.00,,0.2500,6.29,7,0.43,7,94.29,7,0.5000,6,0.2667,5
2023-01-20,acquisition_channel,email,10,0,0.00,0.0000,1.0000,6.71,7,0.43,7,94.29,7,0.6000,5,0.3167,5
2023-01-21,acquisition_channel,email,14,0,0.00,,0.7500,7.00,7,0.43,7,94.29,7,0.6000,5,0.5167,5
2023-01-22,acquisition_channel,email,8,1,335.00,1.0000,1.0000,8.14,7,0.29,7,55.57,7,0.5000,4,0.6000,5
2023-01-23,acquisition_channel,email,13,0,0.00,0.0000,0.4000,9.00,7,0.43,7,103.43,7,0.6000,5,0.6667,6
2023-01-24,acquisition_channel,email,10,1,300.00,0.5000,2.0000,10.14,7,0.43,7,103.43,7,0.6000,5,0.5667,6
2023-01-25,acquisition_channel,email,8,0,0.00,,0.5000,10.57,7,0.43,7,117.00,7,0.5000,5,0.7714,7
2023-01-26,acquisition_channel,email,13,0,0.00,0.0000,1.0000,10.29,7,0.29,7,90.71,7,0.3750,4,0.8429,7
2023-01-27,acquisition_channel,email,13,1,934.00,0.5000,0.5000,10.86,7,0.29,7,90.71,7,0.3000,5,0.9500,7
